source_url,final_url,source_path,source_query,classification,locale,crawl_status,http_status,decision_gate,disposition,target_action,target_path,canonical_path,include_in_sitemap,case_collision_id
https://www.robbewulgaert.be/onderwijs/ithaca-teaching-history-journal,https://www.robbewulgaert.be/onderwijs/ithaca-teaching-history-journal,/onderwijs/ithaca-teaching-history-journal,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/ithaca-teaching-history-journal,/onderwijs/ithaca-teaching-history-journal,true,
https://www.robbewulgaert.be/onderwijs/javascript-en-computationeel-denken-in-de-browser,https://www.robbewulgaert.be/onderwijs/javascript-en-computationeel-denken-in-de-browser,/onderwijs/javascript-en-computationeel-denken-in-de-browser,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/javascript-en-computationeel-denken-in-de-browser,/onderwijs/javascript-en-computationeel-denken-in-de-browser,true,
https://www.robbewulgaert.be/onderwijs/javascript-in-de-klas-versie-20,https://www.robbewulgaert.be/onderwijs/javascript-in-de-klas-versie-20,/onderwijs/javascript-in-de-klas-versie-20,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/javascript-in-de-klas-versie-20,/onderwijs/javascript-in-de-klas-versie-20,true,
https://www.robbewulgaert.be/onderwijs/latijn-en-game-design,https://www.robbewulgaert.be/onderwijs/latijn-en-game-design,/onderwijs/latijn-en-game-design,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/latijn-en-game-design,/onderwijs/latijn-en-game-design,true,
https://www.robbewulgaert.be/onderwijs/latijnse-wordle,https://www.robbewulgaert.be/onderwijs/latijnse-wordle,/onderwijs/latijnse-wordle,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/latijnse-wordle,/onderwijs/latijnse-wordle,true,
https://www.robbewulgaert.be/onderwijs/lessenreeks-computationeel-denken,https://www.robbewulgaert.be/onderwijs/lessenreeks-computationeel-denken,/onderwijs/lessenreeks-computationeel-denken,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/lessenreeks-computationeel-denken,/onderwijs/lessenreeks-computationeel-denken,true,
https://www.robbewulgaert.be/onderwijs/lessenreeks-computationeel-denken-javascript,https://www.robbewulgaert.be/onderwijs/lessenreeks-computationeel-denken-javascript,/onderwijs/lessenreeks-computationeel-denken-javascript,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/lessenreeks-computationeel-denken-javascript,/onderwijs/lessenreeks-computationeel-denken-javascript,true,
https://www.robbewulgaert.be/onderwijs/moeten-robots-auteursrechten-krijgen,https://www.robbewulgaert.be/onderwijs/moeten-robots-auteursrechten-krijgen,/onderwijs/moeten-robots-auteursrechten-krijgen,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/moeten-robots-auteursrechten-krijgen,/onderwijs/moeten-robots-auteursrechten-krijgen,true,
https://www.robbewulgaert.be/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,https://www.robbewulgaert.be/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,true,
https://www.robbewulgaert.be/onderwijs/onderwijs-kleur-de-geschiedenis-met-ai,https://www.robbewulgaert.be/onderwijs/onderwijs-kleur-de-geschiedenis-met-ai,/onderwijs/onderwijs-kleur-de-geschiedenis-met-ai,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/onderwijs-kleur-de-geschiedenis-met-ai,/onderwijs/onderwijs-kleur-de-geschiedenis-met-ai,true,
https://www.robbewulgaert.be/onderwijs/ontdek-latijn-met-minecraft,https://www.robbewulgaert.be/onderwijs/ontdek-latijn-met-minecraft,/onderwijs/ontdek-latijn-met-minecraft,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/ontdek-latijn-met-minecraft,/onderwijs/ontdek-latijn-met-minecraft,true,
https://www.robbewulgaert.be/onderwijs/op-avontuur-met-een-ai,https://www.robbewulgaert.be/onderwijs/op-avontuur-met-een-ai,/onderwijs/op-avontuur-met-een-ai,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/op-avontuur-met-een-ai,/onderwijs/op-avontuur-met-een-ai,true,
https://www.robbewulgaert.be/onderwijs/open-een-ai-kunstgalerij,https://www.robbewulgaert.be/onderwijs/open-een-ai-kunstgalerij,/onderwijs/open-een-ai-kunstgalerij,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/open-een-ai-kunstgalerij,/onderwijs/open-een-ai-kunstgalerij,true,
https://www.robbewulgaert.be/onderwijs/over-zonnedraken-en-zeerovers,https://www.robbewulgaert.be/onderwijs/over-zonnedraken-en-zeerovers,/onderwijs/over-zonnedraken-en-zeerovers,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/over-zonnedraken-en-zeerovers,/onderwijs/over-zonnedraken-en-zeerovers,true,
